id;id_embedded;url;name;season;number;type;airdate;airtime;airstamp;runtime;rating_average;medium;original;_links_self;_links_show;summary
2448957;65758;https://www.tvmaze.com/episodes/2448957/liars-love-1x13-episode-13;Episode 13;1;13.0;regular;2022-12-09;;2022-12-09T12:00:00+00:00;45.0;;;;https://api.tvmaze.com/episodes/2448957;https://api.tvmaze.com/shows/65758;
2448958;65758;https://www.tvmaze.com/episodes/2448958/liars-love-1x14-episode-14;Episode 14;1;14.0;regular;2022-12-09;;2022-12-09T12:00:00+00:00;45.0;;;;https://api.tvmaze.com/episodes/2448958;https://api.tvmaze.com/shows/65758;
2448959;65758;https://www.tvmaze.com/episodes/2448959/liars-love-1x15-episode-15;Episode 15;1;15.0;regular;2022-12-09;;2022-12-09T12:00:00+00:00;45.0;;;;https://api.tvmaze.com/episodes/2448959;https://api.tvmaze.com/shows/65758;
2448960;65758;https://www.tvmaze.com/episodes/2448960/liars-love-1x16-episode-16;Episode 16;1;16.0;regular;2022-12-09;;2022-12-09T12:00:00+00:00;45.0;;;;https://api.tvmaze.com/episodes/2448960;https://api.tvmaze.com/shows/65758;
2451362;65851;https://www.tvmaze.com/episodes/2451362/friedliche-weihnachten-1x01-driving-home-for-christmas;Driving home for Christmas;1;1.0;regular;2022-12-09;;2022-12-09T12:00:00+00:00;30.0;;;;https://api.tvmaze.com/episodes/2451362;https://api.tvmaze.com/shows/65851;
2451363;65851;https://www.tvmaze.com/episodes/2451363/friedliche-weihnachten-1x02-holly-jolly-christmas;Holly Jolly Christmas;1;2.0;regular;2022-12-09;;2022-12-09T12:00:00+00:00;30.0;;;;https://api.tvmaze.com/episodes/2451363;https://api.tvmaze.com/shows/65851;
2451364;65851;https://www.tvmaze.com/episodes/2451364/friedliche-weihnachten-1x03-let-it-snow;Let it snow;1;3.0;regular;2022-12-09;;2022-12-09T12:00:00+00:00;30.0;;;;https://api.tvmaze.com/episodes/2451364;https://api.tvmaze.com/shows/65851;
2451365;65851;https://www.tvmaze.com/episodes/2451365/friedliche-weihnachten-1x04-rocking-around-the-christmas-tree;Rocking around the Christmas tree;1;4.0;regular;2022-12-09;;2022-12-09T12:00:00+00:00;30.0;;;;https://api.tvmaze.com/episodes/2451365;https://api.tvmaze.com/shows/65851;
2451366;65851;https://www.tvmaze.com/episodes/2451366/friedliche-weihnachten-1x05-last-christmas;Last Christmas;1;5.0;regular;2022-12-09;;2022-12-09T12:00:00+00:00;30.0;;;;https://api.tvmaze.com/episodes/2451366;https://api.tvmaze.com/shows/65851;
2451367;65851;https://www.tvmaze.com/episodes/2451367/friedliche-weihnachten-1x06-all-i-want-for-christmas;All I want for Christmas;1;6.0;regular;2022-12-09;;2022-12-09T12:00:00+00:00;30.0;;;;https://api.tvmaze.com/episodes/2451367;https://api.tvmaze.com/shows/65851;
2486763;66849;https://www.tvmaze.com/episodes/2486763/late-night-with-seth-meyers-corrections-3x09-week-of-monday-december-5;Week of Monday, December 5;3;9.0;regular;2022-12-09;;2022-12-09T12:00:00+00:00;;;;;https://api.tvmaze.com/episodes/2486763;https://api.tvmaze.com/shows/66849;
2506986;67439;https://www.tvmaze.com/episodes/2506986/sou-pro-mille-1x02-ajdar-garaev-vs-aleksandr-akusev;АЙДАР ГАРАЕВ VS АЛЕКСАНДР ЯКУШЕВ;1;2.0;regular;2022-12-09;;2022-12-09T12:00:00+00:00;19.0;;https://static.tvmaze.com/uploads/images/medium_landscape/456/1140680.jpg;https://static.tvmaze.com/uploads/images/original_untouched/456/1140680.jpg;https://api.tvmaze.com/episodes/2506986;https://api.tvmaze.com/shows/67439;
2577825;68144;https://www.tvmaze.com/episodes/2577825/yan-zhis-love-story-1x14-episode-14;Episode 14;1;14.0;regular;2022-12-09;;2022-12-09T12:00:00+00:00;15.0;;;;https://api.tvmaze.com/episodes/2577825;https://api.tvmaze.com/shows/68144;
2574163;69389;https://www.tvmaze.com/episodes/2574163/exodus-1x04-episode-4;Episode 4;1;4.0;regular;2022-12-09;;2022-12-09T12:00:00+00:00;112.0;;;;https://api.tvmaze.com/episodes/2574163;https://api.tvmaze.com/shows/69389;
2451178;65053;https://www.tvmaze.com/episodes/2451178/the-black-swindler-1x08-episode-8;Episode 8;1;8.0;regular;2022-12-09;22:00;2022-12-09T13:00:00+00:00;54.0;;;;https://api.tvmaze.com/episodes/2451178;https://api.tvmaze.com/shows/65053;
2434908;43708;https://www.tvmaze.com/episodes/2434908/spidey-and-his-amazing-friends-2x17-an-egg-cellent-adventure;An Egg-cellent Adventure;2;17.0;regular;2022-12-09;08:30;2022-12-09T13:30:00+00:00;15.0;;;;https://api.tvmaze.com/episodes/2434908;https://api.tvmaze.com/shows/43708;<p>When Black Cat steals a sparkly egg from the zoo, Team Spidey must save it before it hatches.</p>
2383896;63868;https://www.tvmaze.com/episodes/2383896/reborn-rich-1x09-episode-9;Episode 9;1;9.0;regular;2022-12-09;22:30;2022-12-09T13:30:00+00:00;71.0;;https://static.tvmaze.com/uploads/images/medium_landscape/454/1137437.jpg;https://static.tvmaze.com/uploads/images/original_untouched/454/1137437.jpg;https://api.tvmaze.com/episodes/2383896;https://api.tvmaze.com/shows/63868;<p>The stock price of New Data Technology plummets, and Hwa Young suffers a huge loss. She is soon accused of embezzling company funds. Miracle Investment offers to pay back the money she owes, only to acquire her shares of her department store. Do Jun asks Min Young to investigate Hwa Young's embezzlement case.</p>
2434909;43708;https://www.tvmaze.com/episodes/2434909/spidey-and-his-amazing-friends-2x18-the-hangout-headache;The Hangout Headache;2;18.0;regular;2022-12-09;08:45;2022-12-09T13:45:00+00:00;15.0;;;;https://api.tvmaze.com/episodes/2434909;https://api.tvmaze.com/shows/43708;<p>When Spidey offers to let Hulk hang out in WEB-Quarters, it quickly turns into a disaster.</p>
2434913;55961;https://www.tvmaze.com/episodes/2434913/mickey-mouse-funhouse-2x07-clarabelles-pie-day;Clarabelle's Pie Day;2;7.0;regular;2022-12-09;11:00;2022-12-09T16:00:00+00:00;15.0;;;;https://api.tvmaze.com/episodes/2434913;https://api.tvmaze.com/shows/55961;<p>Clarabelle is overwhelmed by the things she needs to do during Pie Day.</p>
2445521;62418;https://www.tvmaze.com/episodes/2445521/trailer-park-boys-park-after-dark-4x29-sticky-science;Sticky Science;4;29.0;regular;2022-12-09;;2022-12-09T16:00:00+00:00;30.0;;https://static.tvmaze.com/uploads/images/medium_landscape/435/1088516.jpg;https://static.tvmaze.com/uploads/images/original_untouched/435/1088516.jpg;https://api.tvmaze.com/episodes/2445521;https://api.tvmaze.com/shows/62418;<p>Duck, T-Rex or Gorilla? The Boys conduct a series of highly scientific (and hilarious) experiments to find the ultimate sticky tape, including the Shaft Length Pickup, Julian's Rip Test and the highly dangerous Kitchen Cupboard Strength Test. FOR FUCKIN' SCIENCE!</p>
2434914;55961;https://www.tvmaze.com/episodes/2434914/mickey-mouse-funhouse-2x08-minnies-new-puppy;Minnie's New Puppy;2;8.0;regular;2022-12-09;11:15;2022-12-09T16:15:00+00:00;15.0;;;;https://api.tvmaze.com/episodes/2434914;https://api.tvmaze.com/shows/55961;<p>Minnie adopts a new puppy and isn't prepared to train her.</p>
2447179;29511;https://www.tvmaze.com/episodes/2447179/engine-masters-7x24-carb-v-efi-the-multipoint-edition;Carb v. EFI: The Multipoint Edition;7;24.0;regular;2022-12-09;;2022-12-09T17:00:00+00:00;;;;;https://api.tvmaze.com/episodes/2447179;https://api.tvmaze.com/shows/29511;
2435399;42287;https://www.tvmaze.com/episodes/2435399/the-l-word-generation-q-3x04-last-to-know;Last to Know;3;4.0;regular;2022-12-09;;2022-12-09T17:00:00+00:00;54.0;;https://static.tvmaze.com/uploads/images/medium_landscape/433/1084870.jpg;https://static.tvmaze.com/uploads/images/original_untouched/433/1084870.jpg;https://api.tvmaze.com/episodes/2435399;https://api.tvmaze.com/shows/42287;<p>Micah finds a queer role model with a familiar face, while a new face comes to town and helps Dani and Sophie break out of their funk. Meanwhile, Alice tests the waters of her new relationship, until scary movie night becomes a little too scary. Shocking truths come to light when the masks come off.</p>
2437849;47529;https://www.tvmaze.com/episodes/2437849/nick-copes-popcast-s02-special-whos-at-the-door;Who's at the Door?;2;;significant_special;2022-12-09;17:00;2022-12-09T17:00:00+00:00;5.0;;;;https://api.tvmaze.com/episodes/2437849;https://api.tvmaze.com/shows/47529;<p>Norman gives Nick a very special Christmas present - something that Christmas dreams are made of. But not all is as it seems - or is it?</p>
2436351;49722;https://www.tvmaze.com/episodes/2436351/the-mighty-ones-4x01-battle-of-the-babies-norman;Battle of the Babies / Norman;4;1.0;regular;2022-12-09;;2022-12-09T17:00:00+00:00;22.0;;https://static.tvmaze.com/uploads/images/medium_landscape/436/1091829.jpg;https://static.tvmaze.com/uploads/images/original_untouched/436/1091829.jpg;https://api.tvmaze.com/episodes/2436351;https://api.tvmaze.com/shows/49722;<p>Rocksy's rapport with Lindsay and Breht's now feral baby inspires her friends to get their own babies, and then make them fight. / Twig and Leaf reunite with their brother Norman and compete to win his affection.</p>
2445364;49722;https://www.tvmaze.com/episodes/2445364/the-mighty-ones-4x02-party-twig-space-blasters;Party Twig / Space Blasters;4;2.0;regular;2022-12-09;;2022-12-09T17:00:00+00:00;22.0;;https://static.tvmaze.com/uploads/images/medium_landscape/436/1091830.jpg;https://static.tvmaze.com/uploads/images/original_untouched/436/1091830.jpg;https://api.tvmaze.com/episodes/2445364;https://api.tvmaze.com/shows/49722;"<p>Cicadas have hatched and due to a misunderstanding, they anoint Twig their Party God, leaving Rocksy, Berry, and Leaf in charge of keeping Twig alive. / The Mighty Ones have an adventure in ""space"".</p>"
